Killed,Killed Class,Death Type,Death Class,X,Y,Z,Grid,Killed By,Killed By Class,Year,Month,Day,Hour,Minute
,RD501_opfor_unit_B1,NA,,14500.5,4872.2,0.00137138,145925,CT Blade,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,14332.1,4707.26,0.00136852,143924,CT Sandman,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,14397.2,4776.58,0.00125027,143924,CP Hosed,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,14367.2,4781.75,0.00146389,143924,CS Duke,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,13555,5583.31,0.00144005,135932,0198,RD501_opfor_unit_B1,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,14306.4,4696.88,0.00146627,143924,CP Gamble,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,14332.1,4695.37,0.00144768,143924,CP Gamble,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,14386.6,4682.52,0.00135231,143923,CT Deytow,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,14425.5,4739.53,0.00141048,144924,CS Duke,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
CR-C Barron,JLTS_Clone_P2_DC15A_501,INF,Trooper,13390.4,5047.44,0.00136065,133927,,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_opfor_unit_B1,NA,,13563.1,5596.51,0.0015564,135933,ZE46,RD501_opfor_unit_B1,1985,5,10,8,17
,RD501_opfor_unit_B2_droid_Standard,NA,,14495.6,4725.29,0.0014925,144924,CT Six,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,RD501_droideka_mobile,NA,,14410,4711.29,-0.196945,144924,CT Deytow,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
,O_UAV_AI,NA,,14410,4711.29,-0.148753,144924,Error: No vehicle,,1985,5,10,8,17
,RD501_opfor_unit_B2_droid_Standard,NA,,14298.5,4678.77,0.000995636,142923,CT Nesvy,JLTS_Clone_P2_DC15A_501,1985,5,10,8,17
CM Daan,JLTS_Clone_P2_DC15A_501,INF,Medic,14203.6,5094.17,0.0012722,142928,,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,13560.7,5598.02,0.00151634,135933,ZE46,RD501_opfor_unit_B1,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,13562.6,5597.96,0.00144577,135933,4306,RD501_opfor_unit_B1,1985,5,10,8,18
