,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,SWLB_clone_sg_base_P2,NA,,3016.32,3322.4,0.00143862,030033,09933,RD501_AAT_Brown,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,1
,Land_LampShabby_F,NA,,3007.21,3342.06,-3.51271,030033,48510,RD501_opfor_unit_B1_crew,2017,7,21,10,2
,Land_Dum_rasovna,NA,,3009.92,3329.12,-0.0476789,030033,48510,RD501_opfor_unit_B1_crew,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,Land_LampShabby_F,NA,,3022.54,3328.4,-3.77577,030033,48510,RD501_opfor_unit_B1_crew,2017,7,21,10,2
,Land_seno_balik,NA,,3035.67,3336.24,-0.45173,030033,48510,RD501_opfor_unit_B1_crew,2017,7,21,10,2
,Land_seno_balik,NA,,3037.33,3335.42,-0.0607872,030033,48510,RD501_opfor_unit_B1_crew,2017,7,21,10,2
,Land_Sara_domek_zluty,NA,,3039.64,3323.91,-0.447362,030033,48510,RD501_opfor_unit_B1_crew,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
